Month Year	Residential	Commercial	Industrial
Jan '96	7.752895343	7.310720077	4.474195069
Feb '96	7.805155624	7.387541059	4.501697362
Mar '96	8.082170066	7.454370963	4.488146421
Apr '96	8.239330703	7.481879344	4.463988677
May '96	8.534871292	7.621566971	4.535060124
Jun '96	8.652347031	7.712667157	4.733345849
Jul '96	8.73806928	7.956487927	4.874704844
Aug '96	8.866683352	7.992081696	4.833890599
Sep '96	8.793317298	7.966088061	4.776146395
Oct '96	8.673495187	7.847596327	4.60905627
Nov '96	8.245882038	7.515901453	4.457661949
Dec '96	7.989944081	7.286471309	4.38797986
Jan '97	7.865995998	7.264245122	4.407184087
Feb '97	7.978932287	7.384298097	4.405766974
Mar '97	8.23978297	7.449699923	4.406207834
Apr '97	8.37859356	7.402982539	4.324429135
May '97	8.653227775	7.580436987	4.386492478
Jun '97	8.914086034	7.880277291	4.611990575
Jul '97	8.741501077	7.853164102	4.82211538
Aug '97	8.797820527	7.916691961	4.768133307
Sep '97	8.749454564	7.848668566	4.738989087
Oct '97	8.589192548	7.660296177	4.613398635
Nov '97	8.247076077	7.420860156	4.448203084
Dec '97	8.031811551	7.250799573	4.358728311
Jan '98	7.872060203	7.21974846	4.364797265
Feb '98	7.97405504	7.281071055	4.311581831
Mar '98	8.009516417	7.276150047	4.330708365
Apr '98	8.231813592	7.299525717	4.300747316
May '98	8.487641825	7.457314454	4.404582919
Jun '98	8.525776715	7.606238328	4.638464202
Jul '98	8.582735495	7.689153495	4.846577571
Aug '98	8.568822084	7.673967386	4.780305515
Sep '98	8.433253349	7.552130604	4.623626801
Oct '98	8.250133786	7.446368374	4.425910247
Nov '98	8.039840525	7.117148802	4.325426381
Dec '98	7.920836097	7.108100955	4.298035328
Jan '99	7.578214677	7.008110776	4.272691295
Feb '99	7.92440892	7.199504535	4.316262324
Mar '99	7.90151321	7.158410066	4.194177462
Apr '99	8.08884784	7.085469311	4.242808645
May '99	8.273768843	7.201736753	4.301195184
Jun '99	8.42591736	7.407025852	4.538293509
Jul '99	8.492573205	7.553888151	4.815833974
Aug '99	8.42109628	7.466172048	4.873400494
Sep '99	8.355655583	7.445084888	4.552347896
Oct '99	8.359907874	7.417294761	4.477183181
Nov '99	8.105003263	7.145415401	4.268023669
Dec '99	7.941175472	6.889688316	4.190301052
Jan '00	7.656316117	6.931106025	4.300469975
Feb '00	7.711099689	6.970960347	4.318146168
Mar '00	8.099223947	7.053589974	4.308582734
Apr '00	8.161275576	7.06180587	4.318289319
May '00	8.347700857	7.246071197	4.514693935
Jun '00	8.555509033	7.693828861	4.75461457
Jul '00	8.601815638	7.762602056	4.951305422
Aug '00	8.62261097	7.913205721	5.07929559
Sep '00	8.502823472	7.719820843	4.844620055
Oct '00	8.492375755	7.664248369	4.746902672
Nov '00	8.161896101	7.329365029	4.585224079
Dec '00	7.82483026	7.511112373	4.884889539
Jan '01	7.785443084	7.364117049	4.906747347
Feb '01	8.088653057	7.56783851	4.751775005
Mar '01	8.339109975	7.706991861	4.793679536
Apr '01	8.511601991	7.749793458	4.81099825
May '01	8.894287448	7.786222265	4.949748653
Jun '01	9.108155509	8.132613858	5.122561223
Jul '01	9.083392348	8.403852683	5.37697477
Aug '01	9.046264167	8.372463476	5.330159642
Sep '01	8.970732779	8.29429354	5.186198078
Oct '01	8.922107432	8.301575055	4.969571827
Nov '01	8.531515158	7.795899169	4.756030683
Dec '01	8.352340756	7.708456358	4.794044685
Jan '02	8.091931413	7.486231768	4.810328119
Feb '02	8.192338807	7.70816389	4.846254282
Mar '02	8.169796132	7.734199073	4.857024868
Apr '02	8.381276918	7.655385012	4.787884551
May '02	8.645603157	7.813950198	4.808775036
Jun '02	8.722095801	8.09989676	5.01927991
Jul '02	8.811102479	8.302042272	5.210724016
Aug '02	8.75687929	8.245146688	5.137984191
Sep '02	8.657718039	8.090792992	4.975284118
Oct '02	8.514860883	8.083022374	4.919276666
Nov '02	8.337659353	7.692756756	4.75944711
Dec '02	8.10440151	7.657711241	4.760804019
Jan '03	7.977141996	7.64998351	4.833905042
Feb '03	7.992571579	7.638202906	4.990231572
Mar '03	8.302173164	7.710196868	5.062634889
Apr '03	8.811238022	7.902523339	5.032912126
May '03	8.987925149	8.01849255	5.085743188
Jun '03	9.198461905	8.387673051	5.240783713
Jul '03	9.143716621	8.466501843	5.464573448
Aug '03	9.181861552	8.389267262	5.455923035
Sep '03	8.895549816	8.073998583	5.195872316
Oct '03	8.895018837	8.041298467	5.130848551
Nov '03	8.736743902	7.804443386	4.930301646
Dec '03	8.334550086	7.676376253	4.944068914
Jan '04	8.263416249	7.689956749	5.020188618
Feb '04	8.360690516	7.831180336	5.061788238
Mar '04	8.649656538	7.917153497	5.073439016
Apr '04	8.961123153	7.882917816	5.113002212
May '04	9.097178688	7.982111186	5.178996778
Jun '04	9.283348836	8.45831649	5.44621701
Jul '04	9.369422712	8.603392125	5.631291963
Aug '04	9.498649003	8.661240834	5.649654471
Sep '04	9.411255158	8.525529011	5.420147002
Oct '04	9.113963168	8.226040973	5.261512989
Nov '04	8.991548033	8.041005053	5.115377998
Dec '04	8.621604635	7.813568063	5.174344068
Jan '05	8.472796899	8.001774375	5.073261927
Feb '05	8.728717123	8.201884686	5.070136235
Mar '05	8.77317931	8.103970514	5.113752468
Apr '05	9.211537452	8.266326627	5.1712928
May '05	9.552680844	8.447242732	5.289537498
Jun '05	9.769587755	8.941654444	5.696533654
Jul '05	9.753541669	9.039197008	5.950478243
Aug '05	9.910723328	9.146991156	6.023580803
Sep '05	9.90776383	9.210707357	5.991383765
Oct '05	9.729476403	8.888303202	5.887961084
Nov '05	9.743743318	8.73983747	5.718241196
Dec '05	9.251488432	8.742490703	5.749597822
Jan '06	9.550047273	8.820277296	5.711044881
Feb '06	9.813857688	9.085383492	5.806222093
Mar '06	9.855712503	9.017625661	5.762843347
Apr '06	10.30608725	9.128107191	5.776465541
May '06	10.59800433	9.198810405	5.82978123
